[时间]:2022-04-29 10:59:00,238-[级别]:INFO-[文件]:api_tool_headers.py-[信息]:【读取token成功：Bearer a3ca7b79-eb7d-4f12-adf3-99474d5946ee】
[时间]:2022-04-29 12:30:04,109-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,110-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,110-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,207-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,207-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,207-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2715/enable】
[时间]:2022-04-29 12:30:04,207-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,207-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,207-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,273-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,273-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,273-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2714/enable】
[时间]:2022-04-29 12:30:04,273-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,273-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,273-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,342-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,342-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,342-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2713/enable】
[时间]:2022-04-29 12:30:04,342-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,342-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,342-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,408-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,408-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,408-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2712/enable】
[时间]:2022-04-29 12:30:04,408-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,408-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,408-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,475-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,475-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,475-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2711/enable】
[时间]:2022-04-29 12:30:04,475-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,475-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,475-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,539-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,539-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,540-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2710/enable】
[时间]:2022-04-29 12:30:04,540-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,540-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,540-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,612-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,612-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,612-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2709/enable】
[时间]:2022-04-29 12:30:04,612-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,613-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,613-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,679-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,679-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,679-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2708/enable】
[时间]:2022-04-29 12:30:04,680-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,680-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,680-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,745-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,745-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,745-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2707/enable】
[时间]:2022-04-29 12:30:04,745-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,745-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,746-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,811-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,812-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,812-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/8108/enable】
[时间]:2022-04-29 12:30:04,812-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,812-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,812-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,878-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,878-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,878-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/8109/enable】
[时间]:2022-04-29 12:30:04,878-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,878-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,878-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:04,943-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:04,943-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:04,943-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/8110/enable】
[时间]:2022-04-29 12:30:04,943-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:04,943-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:04,943-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,007-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,007-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,007-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2507/enable】
[时间]:2022-04-29 12:30:05,007-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,007-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,007-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,302-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,302-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,302-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2508/enable】
[时间]:2022-04-29 12:30:05,303-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,303-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,303-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,367-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,367-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,367-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2594/enable】
[时间]:2022-04-29 12:30:05,367-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,367-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,368-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,432-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,432-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,432-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2593/enable】
[时间]:2022-04-29 12:30:05,432-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,432-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,432-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,496-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,496-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,496-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2592/enable】
[时间]:2022-04-29 12:30:05,496-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,496-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,496-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,560-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,560-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,560-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2590/enable】
[时间]:2022-04-29 12:30:05,560-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,560-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,560-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,625-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,625-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,625-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2589/enable】
[时间]:2022-04-29 12:30:05,625-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,625-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,625-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,689-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,689-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,689-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2588/enable】
[时间]:2022-04-29 12:30:05,689-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,689-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,690-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,761-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,761-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,761-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2587/enable】
[时间]:2022-04-29 12:30:05,761-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,761-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,761-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,826-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,826-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,826-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2586/enable】
[时间]:2022-04-29 12:30:05,826-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,826-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,826-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,892-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,892-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,892-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2585/enable】
[时间]:2022-04-29 12:30:05,892-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,892-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,892-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:05,959-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:05,959-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:05,959-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2584/enable】
[时间]:2022-04-29 12:30:05,960-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:05,960-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:05,960-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:06,049-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:06,049-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:06,049-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2583/enable】
[时间]:2022-04-29 12:30:06,049-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:06,049-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:06,049-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:06,116-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:06,117-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:06,117-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2582/enable】
[时间]:2022-04-29 12:30:06,117-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:06,117-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:06,117-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:06,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:06,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:06,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2581/enable】
[时间]:2022-04-29 12:30:06,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:06,191-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:06,192-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:06,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:06,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:06,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2580/enable】
[时间]:2022-04-29 12:30:06,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
[时间]:2022-04-29 12:30:06,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求数据Data: {'enableFlag': 1}】
[时间]:2022-04-29 12:30:06,258-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【上传文件File: None】
[时间]:2022-04-29 12:30:06,323-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求开始...start】
[时间]:2022-04-29 12:30:06,323-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求类型Method: patch】
[时间]:2022-04-29 12:30:06,323-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求地址Url: http://123.57.8.247:10000/uaa/v1/api/app/2509/enable】
[时间]:2022-04-29 12:30:06,323-[级别]:INFO-[文件]:api_tool_request.py-[信息]:【请求头Headers: {'Authorization': 'Bearer 5b97e461-bc87-4a70-b430-7bbbc7e328a5'}】
